station_code,mrt_station,mrt_line,lat,long
NS1,Jurong East,North South Line,1.333115,103.742297
NS2,Bukit Batok,North South Line,1.349057,103.749591
NS3,Bukit Gombak,North South Line,1.358893,103.751825
NS4,Choa Chu Kang,North South Line,1.384749,103.744534
NS5,Yew Tee,North South Line,1.397461,103.747401
NS7,Kranji,North South Line,1.425219,103.761989
NS8,Marsiling,North South Line,1.432542,103.774216
NS9,Woodlands,North South Line,1.437388,103.787675
NS10,Admiralty,North South Line,1.440637,103.800959
NS11,Sembawang,North South Line,1.449093,103.820056
NS13,Yishun,North South Line,1.429384,103.835028
NS14,Khatib,North South Line,1.417316,103.832998
NS15,Yio Chu Kang,North South Line,1.38178,103.844965
NS16,Ang Mo Kio,North South Line,1.370053,103.84954
NS17,Bishan,North South Line,1.351455,103.848263
NS18,Braddell,North South Line,1.340599,103.846788
NS19,Toa Payoh,North South Line,1.332297,103.847327
NS20,Novena,North South Line,1.320084,103.843492
NS21,Newton,North South Line,1.31296,103.838864
NS22,Orchard,North South Line,1.303223,103.831982
NS23,Somerset,North South Line,1.300328,103.838504
NS24,Dhoby Ghaut,North South Line,1.298786,103.84502
NS25,City Hall,North South Line,1.293047,103.852573
NS26,Raffles Place,North South Line,1.284409,103.85147
NS27,Marina Bay,North South Line,1.275171,103.854751
NS28,Marina South Pier,North South Line,1.27175,103.862723
EW1,Pasir Ris,East West Line,1.373031,103.949255
EW2,Tampines,East West Line,1.353374,103.945084
EW3,Simei,East West Line,1.343179,103.953376
EW4,Tanah Merah,East West Line,1.327262,103.946513
EW5,Bedok,East West Line,1.323935,103.929995
EW6,Kembangan,East West Line,1.321055,103.912762
EW7,Eunos,East West Line,1.319814,103.903058
EW8,Paya Lebar,East West Line,1.31805,103.892318
EW9,Aljunied,East West Line,1.316484,103.882882
EW10,Kallang,East West Line,1.311448,103.871339
EW11,Lavender,East West Line,1.307445,103.86303
EW12,Bugis,East West Line,1.30053,103.856095
EW13,City Hall,East West Line,1.293047,103.852573
EW14,Raffles Place,East West Line,1.284409,103.85147
EW15,Tanjong Pagar,East West Line,1.276574,103.845884
EW16,Outram Park,East West Line,1.280685,103.840241
EW17,Tiong Bahru,East West Line,1.286095,103.827642
EW18,Redhill,East West Line,1.289653,103.816757
EW19,Queenstown,East West Line,1.294552,103.806052
EW20,Commonwealth,East West Line,1.302443,103.798308
EW21,Buona Vista,East West Line,1.30719,103.790838
EW22,Dover,East West Line,1.311421,103.778628
EW23,Clementi,East West Line,1.3151,103.765231
EW24,Jurong East,East West Line,1.333115,103.742297
EW25,Chinese Garden,East West Line,1.34247,103.732594
EW26,Lakeside,East West Line,1.344303,103.720801
EW27,Boon Lay,East West Line,1.338472,103.705777
EW28,Pioneer,East West Line,1.337575,103.697354
EW29,Joo Koon,East West Line,1.32772,103.678285
EW30,Gul Circle,East West Line,1.319423,103.660415
EW31,Tuas Crescent,East West Line,1.320796,103.64929
EW32,Tuas West Road,East West Line,1.329495,103.640149
EW33,Tuas Link,East West Line,1.340038,103.636844
CG1,Expo,Changi Airport Branch Line,1.33564,103.962238
CG2,Changi Airport,Changi Airport Branch Line,1.357338,103.988565
NE1,HarbourFront,North East Line,1.265391,103.822403
NE3,Outram Park,North East Line,1.280685,103.840241
NE4,Chinatown,North East Line,1.28502,103.844003
NE5,Clarke Quay,North East Line,1.288981,103.846869
NE6,Dhoby Ghaut,North East Line,1.298786,103.84502
NE7,Little India,North East Line,1.306571,103.849299
NE8,Farrer Park,North East Line,1.312708,103.854377
NE9,Boon Keng,North East Line,1.319824,103.861521
NE10,Potong Pasir,North East Line,1.331254,103.869093
NE11,Woodleigh,North East Line,1.339197,103.870754
NE12,Serangoon,North East Line,1.349807,103.873771
NE13,Kovan,North East Line,1.359977,103.884874
NE14,Hougang,North East Line,1.371904,103.892754
NE15,Buangkok,North East Line,1.383056,103.89305
NE16,Sengkang,North East Line,1.39133,103.895294
NE17,Punggol,North East Line,1.405255,103.902354
CC1,Dhoby Ghaut,Circle Line,1.298786,103.84502
CC2,Bras Basah,Circle Line,1.296896,103.85055
CC3,Esplanade,Circle Line,1.293258,103.855974
CC4,Promenade,Circle Line,1.293854,103.860151
CC5,Nicoll Highway,Circle Line,1.299671,103.8635
CC6,Stadium,Circle Line,1.302778,103.875402
CC7,Mountbatten,Circle Line,1.306249,103.882496
CC8,Dakota,Circle Line,1.308438,103.88832
CC9,Paya Lebar,Circle Line,1.31805,103.892318
CC10,MacPherson,Circle Line,1.326567,103.890306
CC11,Tai Seng,Circle Line,1.334866,103.88815
CC12,Bartley,Circle Line,1.342438,103.880449
CC13,Serangoon,Circle Line,1.349807,103.873771
CC14,Lorong Chuan,Circle Line,1.351488,103.863395
CC15,Bishan,Circle Line,1.351455,103.848263
CC16,Marymount,Circle Line,1.348614,103.839238
CC17,Caldecott,Circle Line,1.33768,103.839991
CC19,Botanic Gardens,Circle Line,1.322559,103.815747
CC20,Farrer Road,Circle Line,1.317628,103.807785
CC21,Holland Village,Circle Line,1.312117,103.795744
CC22,Buona Vista,Circle Line,1.30719,103.790838
CC23,one-north,Circle Line,1.299607,103.787241
CC24,Kent Ridge,Circle Line,1.293301,103.784413
CC25,Haw Par Villa,Circle Line,1.282654,103.781772
CC26,Pasir Panjang,Circle Line,1.276177,103.791614
CC27,Labrador Park,Circle Line,1.272328,103.802782
CC28,Telok Blangah,Circle Line,1.270586,103.809863
CC29,HarbourFront,Circle Line,1.265391,103.822403
CE1,Bayfront,Circle Line Extension,1.282535,103.85973
CE2,Marina Bay,Circle Line Extension,1.275171,103.854751
DT1,Bukit Panjang,Downtown Line,1.378296,103.762138
DT2,Cashew,Downtown Line,1.369661,103.764481
DT3,Hillview,Downtown Line,1.362451,103.767067
DT5,Beauty World,Downtown Line,1.341664,103.775936
DT6,King Albert Park,Downtown Line,1.33566,103.78416
DT7,Sixth Avenue,Downtown Line,1.330591,103.797225
DT8,Tan Kah Kee,Downtown Line,1.325701,103.807753
DT9,Botanic Gardens,Downtown Line,1.322559,103.815747
DT10,Stevens,Downtown Line,1.320192,103.825461
DT11,Newton,Downtown Line,1.31296,103.838864
DT12,Little India,Downtown Line,1.306571,103.849299
DT13,Rochor,Downtown Line,1.303951,103.852634
DT14,Bugis,Downtown Line,1.30053,103.856095
DT15,Promenade,Downtown Line,1.293854,103.860151
DT16,Bayfront,Downtown Line,1.282535,103.85973
DT17,Downtown,Downtown Line,1.279191,103.853345
DT18,Telok Ayer,Downtown Line,1.282123,103.848744
DT19,Chinatown,Downtown Line,1.28502,103.844003
DT20,Fort Canning,Downtown Line,1.292393,103.844157
DT21,Bencoolen,Downtown Line,1.298861,103.850369
DT22,Jalan Besar,Downtown Line,1.305125,103.85523
DT23,Bendemeer,Downtown Line,1.313583,103.863067
DT24,Geylang Bahru,Downtown Line,1.321611,103.871983
DT25,Mattar,Downtown Line,1.326969,103.882958
DT26,MacPherson,Downtown Line,1.326567,103.890306
DT27,Ubi,Downtown Line,1.329763,103.899379
DT28,Kaki Bukit,Downtown Line,1.335024,103.908611
DT29,Bedok North,Downtown Line,1.33475,103.918036
DT30,Bedok Reservoir,Downtown Line,1.336284,103.931887
DT31,Tampines West,Downtown Line,1.345519,103.93856
DT32,Tampines,Downtown Line,1.353374,103.945084
DT33,Tampines East,Downtown Line,1.356084,103.954976
DT34,Upper Changi,Downtown Line,1.34169,103.961263
DT35,Expo,Downtown Line,1.33564,103.962238
BP1,Choa Chu Kang,Bukit Panjang LRT,1.384749,103.744534
BP2,South View,Bukit Panjang LRT,1.38026,103.745285
BP3,Keat Hong,Bukit Panjang LRT,1.378599,103.74903
BP4,Teck Whye,Bukit Panjang LRT,1.37667,103.753647
BP5,Phoenix,Bukit Panjang LRT,1.378616,103.758008
BP6,Bukit Panjang,Bukit Panjang LRT,1.378296,103.762138
BP7,Petir,Bukit Panjang LRT,1.377756,103.766634
BP8,Pending,Bukit Panjang LRT,1.376184,103.771259
BP9,Bangkit,Bukit Panjang LRT,1.380055,103.772644
BP10,Fajar,Bukit Panjang LRT,1.38455,103.7708
BP11,Segar,Bukit Panjang LRT,1.387792,103.769593
BP12,Jelapang,Bukit Panjang LRT,1.386683,103.764515
BP13,Senja,Bukit Panjang LRT,1.382678,103.762382
STC,Sengkang,Sengkang LRT,1.39133,103.895294
SE1,Compassvale,Sengkang LRT,1.394518,103.900435
SE2,Rumbia,Sengkang LRT,1.391509,103.905937
SE3,Bakau,Sengkang LRT,1.388029,103.905458
SE4,Kangkar,Sengkang LRT,1.383922,103.902202
SE5,Ranggung,Sengkang LRT,1.38403,103.897349
SW1,Cheng Lim,Sengkang LRT,1.39631,103.893713
SW2,Farmway,Sengkang LRT,1.397191,103.889167
SW3,Kupang,Sengkang LRT,1.398204,103.881244
SW4,Thanggam,Sengkang LRT,1.397434,103.875645
SW5,Fernvale,Sengkang LRT,1.391916,103.876297
SW6,Layar,Sengkang LRT,1.392114,103.880074
SW7,Tongkang,Sengkang LRT,1.389445,103.885807
SW8,Renjong,Sengkang LRT,1.386708,103.890485
PTC,Punggol,Punggol LRT,1.405255,103.902354
PE1,Cove,Punggol LRT,1.399464,103.905852
PE2,Meridian,Punggol LRT,1.396976,103.908874
PE3,Coral Edge,Punggol LRT,1.393876,103.912643
PE4,Riviera,Punggol LRT,1.394581,103.916135
PE5,Kadaloor,Punggol LRT,1.399601,103.916445
PE6,Oasis,Punggol LRT,1.402317,103.912684
PE7,Damai,Punggol LRT,1.405282,103.908556
PW1,Sam Kee,Punggol LRT,1.40975,103.904583
PW2,Teck Lee,Punggol LRT,1.412705,103.906653
PW3,Punggol Point,Punggol LRT,1.416845,103.906664
PW4,Samudera,Punggol LRT,1.415976,103.90219
PW5,Nibong,Punggol LRT,1.411831,103.900305
PW6,Sumang,Punggol LRT,1.408532,103.898534
PW7,Soo Teck,Punggol LRT,1.405394,103.897237
