YEAR_MONTH,DAY_TYPE,TIME_PER_HOUR,PT_TYPE,PT_CODE,TOTAL_TAP_IN_VOLUME,TOTAL_TAP_OUT_VOLUME
2020-08,WEEKDAY,7,TRAIN,EW24/NS1,40729,124523
2020-08,WEEKDAY,18,TRAIN,NS13,50110,107774
2020-08,WEEKDAY,18,TRAIN,EW24/NS1,136014,103557
2020-08,WEEKDAY,8,TRAIN,EW24/NS1,37372,90455
2020-08,WEEKDAY,18,TRAIN,NS16,52423,89765
2020-08,WEEKDAY,18,TRAIN,EW2/DT32,55394,89160
2020-08,WEEKDAY,18,TRAIN,EW27,68148,88606
2020-08,WEEKDAY,8,TRAIN,EW14/NS26,5636,86776
2020-08,WEEKDAY,18,TRAIN,NS9/TE2,43906,86355
2020-08,WEEKDAY,18,TRAIN,NS10,51862,83956
2020-08,WEEKDAY,7,TRAIN,EW29,6713,82853
2020-08,WEEKDAY,19,TRAIN,NS13,32830,78866
2020-08,WEEKDAY,18,TRAIN,NS11,42872,76774
2020-08,WEEKDAY,17,TRAIN,NS13,46732,76557
2020-08,WEEKDAY,17,TRAIN,EW24/NS1,115029,73588
2020-08,WEEKDAY,8,TRAIN,NS20,15339,73327
2020-08,WEEKDAY,6,TRAIN,EW24/NS1,23701,72429
2020-08,WEEKDAY,18,TRAIN,NS4/BP1,46295,72174
2020-08,WEEKDAY,18,TRAIN,NE16/STC,38691,70888
2020-08,WEEKDAY,7,TRAIN,EW27,83372,69911
2020-08,WEEKDAY,7,TRAIN,EW23,51634,69606
2020-08,WEEKDAY,17,TRAIN,EW27,59282,68423
2020-08,WEEKDAY,9,TRAIN,EW14/NS26,5732,67963
2020-08,WEEKDAY,8,TRAIN,EW15,7083,67716
2020-08,WEEKDAY,19,TRAIN,NS10,31382,67504
2020-08,WEEKDAY,9,TRAIN,NS22,7801,66409
2020-08,WEEKDAY,19,TRAIN,NS16,36048,66325
2020-08,WEEKDAY,17,TRAIN,NS16,44482,66114
2020-08,WEEKDAY,19,TRAIN,EW24/NS1,83641,66037
2020-08,WEEKDAY,19,TRAIN,NS9/TE2,29040,65852
2020-08,WEEKDAY,17,TRAIN,EW2/DT32,47217,65132
2020-08,WEEKDAY,19,TRAIN,EW27,36338,64769
2020-08,WEEKDAY,10,TRAIN,NS22,10839,64014
2020-08,WEEKDAY,7,TRAIN,NS15,28287,63924
2020-08,WEEKDAY,7,TRAIN,NS20,11602,63795
2020-08,WEEKDAY,8,TRAIN,NS22,9051,63500
2020-08,WEEKDAY,7,TRAIN,EW16/NE3,13211,63063
2020-08,WEEKDAY,17,TRAIN,NS9/TE2,41152,62966
2020-08,WEEKDAY,19,TRAIN,EW2/DT32,41000,62905
2020-08,WEEKDAY,8,TRAIN,EW16/NE3,13573,61685
2020-08,WEEKDAY,18,TRAIN,BP6/DT1,36524,60735
2020-08,WEEKDAY,18,TRAIN,EW23,60758,60248
2020-08,WEEKDAY,18,TRAIN,NS14,29974,60049
2020-08,WEEKDAY,18,TRAIN,NS5,33854,59897
2020-08,WEEKDAY,18,TRAIN,NE17/PTC,31734,59851
2020-08,WEEKDAY,19,TRAIN,NS11,26535,59386
