X,Y,STN_NAME,STN_NO
103.903252466738,1.31977895155364,EUNOS MRT STATION,EW7
103.732596738073,1.34235282087474,CHINESE GARDEN MRT STATION,EW25
103.832979907738,1.41738337015355,KHATIB MRT STATION,NS14
103.7621654109,1.42517769877045,KRANJI MRT STATION,NS7
103.816816670149,1.28956272640245,REDHILL MRT STATION,EW18
103.747405114138,1.39753501779341,YEW TEE MRT STATION,NS5
103.697321512936,1.33758688220475,PIONEER MRT STATION,EW28
103.798304515629,1.30243873532717,COMMONWEALTH MRT STATION,EW20
103.893060355252,1.31811208229528,PAYA LEBAR MRT STATION,EW8
103.953371694176,1.34320289493073,SIMEI MRT STATION,EW3
103.945148688649,1.35330135634243,TAMPINES MRT STATION,EW2
103.800988000812,1.44058500108541,ADMIRALTY MRT STATION,NS10
103.835005046195,1.4294430808108,YISHUN MRT STATION,NS13
103.949268118245,1.37298377357949,PASIR RIS MRT STATION,EW1
103.765298874326,1.31495449242359,CLEMENTI MRT STATION,EW23
103.88290604466,1.31643261165784,ALJUNIED MRT STATION,EW9
103.84993299389,1.36934730378856,ANG MO KIO MRT STATION,NS16
103.961548210708,1.33454977783781,EXPO MRT STATION,CG1
103.744340946182,1.38536169282881,CHOA CHU KANG MRT STATION,NS4
103.742286544005,1.33315261989407,JURONG EAST MRT STATION,EW24 / NS1
103.805884333892,1.29486093279499,QUEENSTOWN MRT STATION,EW19
103.636878678349,1.34046376564821,TUAS LINK MRT STATION,EW33
103.660552955908,1.31950521493821,GUL CIRCLE MRT STATION,EW30
103.786485134907,1.43687512821076,WOODLANDS MRT STATION,NS9
103.649075478309,1.32102655324227,TUAS CRESCENT MRT STATION,EW31
103.871386541359,1.31148890964216,KALLANG MRT STATION,EW10
103.63961405603,1.32998908904914,TUAS WEST ROAD MRT STATION,EW32
103.790191535174,1.30718346654733,BUONA VISTA MRT STATION,EW21
103.778637841638,1.31140529292531,DOVER MRT STATION,EW22
103.820046140548,1.44905082122729,SEMBAWANG MRT STATION,NS11
103.912949388363,1.32103824885108,KEMBANGAN MRT STATION,EW6
103.749566763852,1.34903410857667,BUKIT BATOK MRT STATION,NS2
103.849558131438,1.36993317523848,ANG MO KIO MRT STATION,NS16
103.706064622596,1.33860405450327,BOON LAY MRT STATION,EW27
103.751893502082,1.35876185726145,BUKIT GOMBAK MRT STATION,NS3
103.774071461262,1.43251442063564,MARSILING MRT STATION,NS8
103.929984494621,1.32397996888775,BEDOK MRT STATION,EW5
103.678375142851,1.32771717309168,JOO KOON MRT STATION,EW29
103.720949268479,1.3442592493947,LAKESIDE MRT STATION,EW26
103.946346460623,1.32718713453836,TANAH MERAH MRT STATION,EW4
103.844947289754,1.381756046113,YIO CHU KANG MRT STATION,NS15
103.912727355631,1.40228667749371,OASIS LRT STATION,PE6
103.904831550519,1.40961268508661,SAM KEE LRT STATION,PW1
